,10BT2_43,10NBT0_22,10NBT2_90,13BT2_71,13NBT0_112,13NBT2_101,20NBT0_73,20NBT2_123,21BT2_40,21NBT0_35,21NBT2_26,25NBT0_102,25NBT0_32,25NBT2_109,26BT2_127,26NBT0_81,26NBT2_49,28NBT0_120,28NBT2_24,55BT2_96,55NBT0_19,55NBT2_79,5BT2_110,5NBT0_39,5NBT2_66,66BT2_17,66NBT0_129,66NBT2_119,73BT2_21,73NBT0_91,73NBT2_108,74BT2_88,74NBT0_64,74NBT2_42,protein
lcl|c225884_g1_i1|m.11027,0,4.7874,24.8946,0,19.5718,18.7941,9.1275,0,0,9.7201,22.5647,9.4542,0,0,0,0,4.6302,45.3271,47.8134,5.2406,0,4.7106,0,23.7387,25.9241,0,0,19.0073,0,4.9578,33.2842,4.9138,10.6139,9.3498,lcl|c225884_g1_i1|m.11027
lcl|c225938_g3_i1|m.11067,0,8.158,25.4528,0,0,0,7.7768,0,7.7311,0,7.6902,8.0552,0,0,0,0,7.8899,0,9.0529,0,0,0,0,0,0,0,0,0,0,0,8.1025,0,9.0433,0,lcl|c225938_g3_i1|m.11067
lcl|c225972_g1_i1|m.11091,547.8471,485.128,578.1088,488.2632,578.4555,436.4404,529.9049,962.6212,483.6896,446.3131,395.3839,638.6847,650.4184,0,982.8266,572.0857,737.9945,531.6138,392.5425,757.8516,518.558,601.6532,744.5178,691.5873,634.8513,446.8938,906.421,471.4861,428.2244,690.7883,602.2851,321.5841,604.994,552.6747,lcl|c225972_g1_i1|m.11091
lcl|c225978_g1_i10|m.11104,0,0,0,2.9809,3.4054,0,0,0,0,3.3824,0,3.2899,0,0,0,0,0,0,0,0,0,0,0,0,3.6085,0,0,0,0,0,3.3093,3.4199,0,0,lcl|c225978_g1_i10|m.11104
lcl|c207877_g2_i1|m.1696,0,0,0,0,5.8286,0,0,0,0,0,5.3759,0,0,0,0,0,5.5155,0,0,6.2427,12.7219,0,0,0,0,5.8643,0,0,0,5.9059,0,5.8535,0,0,lcl|c207877_g2_i1|m.1696
lcl|c225983_g2_i10|m.11114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3325,0,0,3.6328,3.9234,0,lcl|c225983_g2_i10|m.11114
lcl|c226005_g4_i1|m.11126,73.8309,25.3551,0,5.6709,6.4785,0,284.0035,275.6179,18.0213,19.3047,0,0,32.1203,0,40.899,78.4874,73.5662,233.3914,175.8528,6.9388,42.421,6.2371,0,0,0,117.3273,958.7457,113.2489,83.556,334.7818,201.4612,19.5184,35.1332,12.3795,lcl|c226005_g4_i1|m.11126
lcl|c226044_g1_i4|m.11148,6.5724,0,7.629,6.5627,0,0,0,0,0,7.4468,6.915,0,0,0,0,0,7.0946,7.717,8.1403,0,0,0,0,7.2748,0,0,7.1123,7.281,0,0,0,0,8.1316,7.1631,lcl|c226044_g1_i4|m.11148
lcl|c226046_g1_i2|m.11150,38.9631,43.4876,22.6135,29.1791,18.5191,46.2364,24.1825,18.7589,30.9091,25.7524,17.0809,46.5177,11.0182,0,43.4247,6.4103,10.5147,11.4371,36.1934,15.868,52.5475,24.9608,59.3241,14.3756,23.5485,85.7102,35.1364,32.373,61.4186,22.5175,25.1952,26.0375,52.2239,31.8488,lcl|c226046_g1_i2|m.11150
lcl|c226084_g3_i2|m.11194,57.9173,27.704,48.0201,82.6165,66.0673,63.442,26.4097,28.6811,96.2663,65.6228,52.231,54.7097,84.2302,0,76.6078,49.0048,71.45,29.1443,10.2477,70.7616,51.501,45.4326,71.1394,45.7904,60.007,75.9683,53.7212,54.9957,34.7797,57.3797,73.3748,56.8709,102.3679,81.1578,lcl|c226084_g3_i2|m.11194
