"","PROTID","10BT2_43_ADJNSAF","10NBT0_22_ADJNSAF","10NBT2_90_ADJNSAF","13BT2_71_ADJNSAF","13NBT0_112_ADJNSAF","13NBT2_101_ADJNSAF","20NBT0_73_ADJNSAF","20NBT2_123_ADJNSAF","21BT2_40_ADJNSAF","21NBT0_35_ADJNSAF","21NBT2_26_ADJNSAF","25NBT0_102_ADJNSAF","25NBT2_32_ADJNSAF","26BT2_127_ADJNSAF","26NBT0_81_ADJNSAF","26NBT2_49_ADJNSAF","28NBT0_120_ADJNSAF","28NBT2_24_ADJNSAF","55BT2_96_ADJNSAF","55NBT0_19_ADJNSAF","55NBT2_79_ADJNSAF","5BT2_110_ADJNSAF","5NBT0_39_ADJNSAF","5NBT2_66_ADJNSAF","66BT2_17_ADJNSAF","66NBT0_129_ADJNSAF","66NBT2_119_ADJNSAF","73BT2_21_ADJNSAF","73NBT0_91_ADJNSAF","73NBT2_108_ADJNSAF","74BT2_88_ADJNSAF","74NBT0_64_ADJNSAF","74NBT2_42_ADJNSAF"
"55","lcl|c233348_g2_i1|m.18445",0,0,0,0,0,0,0,0,0,0,0,0,0,21.1654,0,0,0,0,0,25.7685,0,11.0969,0,12.4387,0,0,0,10.842,11.9771,0,0,12.7209,0
"56","lcl|c233370_g1_i2|m.18468",51.5649,22.9611,62.8538,61.6547,46.9425,45.2176,54.507,100.9345,32.6112,52.4358,75.7418,68.1021,46.532,63.292,61.036,72.2529,66.4184,63.6015,50.2159,51.3713,73.3695,82.9594,22.7848,68.1926,47.2559,66.7234,51.4612,48.6321,41.7851,79.913,59.0808,76.0801,61.6338
"57","lcl|c233425_g3_i4|m.18529",46.3488,51.5961,56.4958,64.6543,84.388,50.8044,48.9933,0,58.6248,31.4211,38.9029,40.8088,20.9125,28.4448,45.7182,49.957,10.8545,11.4336,22.5681,57.7185,20.2916,29.827,20.4799,66.8667,53.0946,49.9783,30.8371,29.1418,64.3856,10.2613,31.8626,91.1788,20.1452
"58","lcl|c210342_g3_i4|m.2163",26.7278,39.6717,43.439,35.5085,70.9679,68.3602,18.8352,41.0335,18.7816,70.4647,37.39,58.8326,20.0993,9.1129,26.3642,19.2057,10.4324,43.9557,10.8452,22.1895,48.7562,38.2228,29.5253,53.5553,51.0298,38.4277,69.155,46.6808,41.2545,49.3114,61.2471,32.8624,38.7235
"59","lcl|c233431_g1_i6|m.18546",0,9.0621,0,8.1111,18.5268,8.923,43.0245,74.9851,25.7413,18.3954,17.0817,8.9593,0,24.9795,8.0297,26.3225,9.5321,20.0813,0,10.1374,8.9098,8.7311,0,29.3603,0,0,0,25.5915,37.6944,0,9.327,40.0354,8.8455
"60","lcl|c233449_g1_i1|m.18576",8.1198,13.5587,4.9487,16.1811,4.62,17.8008,4.2916,0,12.8381,4.5872,12.7789,13.4049,4.5796,12.4581,16.0187,4.376,0,20.0304,0,50.5585,4.4436,17.418,4.4848,9.762,9.3016,0,0,12.7634,18.7995,8.9884,18.6067,14.9753,17.6461
"61","lcl|c233474_g3_i1|m.18592",0,4.4298,4.8505,0,0,0,4.2064,0,0,4.4962,0,0,0,0,0,0,0,0,0,0,0,0,4.3958,0,0,0,0,0,0,0,0,0,0
"62","lcl|c233478_g1_i2|m.18597",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0728,0,0,0,0,0,0,0,0,3.2566,6.6978,0,0,0,0,0,0
"63","lcl|c233495_g1_i1|m.18614",93.5993,76.4104,83.6665,55.9571,56.8059,27.3593,0,0,0,7.0504,0,20.6029,7.0387,0,0,0,0,7.6965,15.1918,15.5413,6.8297,0,0,0,0,0,0,6.539,7.2235,0,0,0,0
"64","lcl|c233495_g1_i4|m.18615",0,77.6185,0,0,0,0,0,0,0,7.1619,0,0,7.1499,0,0,0,0,0,0,0,6.9376,0,0,0,0,0,0,6.6423,7.3378,0,0,0,0
